logged_at,source_csv,table,line_number,job_id,primary_key,primary_id,reason,raw_row_json
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16214,1569305,Placement ID,515748,job_id not in jobs.jobs,"{""Job ID"": ""1569305"", ""Placement ID"": ""515748"", ""Placement Type"": ""Net New"", ""Date Added"": ""4/23/25 19:25"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16215,1569302,Placement ID,515746,job_id not in jobs.jobs,"{""Job ID"": ""1569302"", ""Placement ID"": ""515746"", ""Placement Type"": ""Net New"", ""Date Added"": ""4/23/25 18:52"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16216,1569171,Placement ID,513626,job_id not in jobs.jobs,"{""Job ID"": ""1569171"", ""Placement ID"": ""513626"", ""Placement Type"": ""Net New"", ""Date Added"": ""2/28/25 11:49"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16217,1566356,Placement ID,512258,job_id not in jobs.jobs,"{""Job ID"": ""1566356"", ""Placement ID"": ""512258"", ""Placement Type"": ""Net New"", ""Date Added"": ""1/24/25 13:10"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16218,1565552,Placement ID,511980,job_id not in jobs.jobs,"{""Job ID"": ""1565552"", ""Placement ID"": ""511980"", ""Placement Type"": ""Net New"", ""Date Added"": ""1/16/25 15:38"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16219,1564320,Placement ID,511591,job_id not in jobs.jobs,"{""Job ID"": ""1564320"", ""Placement ID"": ""511591"", ""Placement Type"": ""Net New"", ""Date Added"": ""1/7/25 11:51"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16220,1552899,Placement ID,509041,job_id not in jobs.jobs,"{""Job ID"": ""1552899"", ""Placement ID"": ""509041"", ""Placement Type"": ""Backfill/Replacement"", ""Date Added"": ""10/8/24 16:30"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16221,1551085,Placement ID,509136,job_id not in jobs.jobs,"{""Job ID"": ""1551085"", ""Placement ID"": ""509136"", ""Placement Type"": ""Net New"", ""Date Added"": ""10/11/24 13:39"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16222,1545942,Placement ID,506734,job_id not in jobs.jobs,"{""Job ID"": ""1545942"", ""Placement ID"": ""506734"", ""Placement Type"": ""Net New"", ""Date Added"": ""8/9/24 12:04"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16223,1542637,Placement ID,504206,job_id not in jobs.jobs,"{""Job ID"": ""1542637"", ""Placement ID"": ""504206"", ""Placement Type"": ""Backfill/Replacement"", ""Date Added"": ""6/4/24 11:01"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16224,1540795,Placement ID,503361,job_id not in jobs.jobs,"{""Job ID"": ""1540795"", ""Placement ID"": ""503361"", ""Placement Type"": ""Backfill/Replacement"", ""Date Added"": ""5/9/24 12:27"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16225,1538191,Placement ID,502558,job_id not in jobs.jobs,"{""Job ID"": ""1538191"", ""Placement ID"": ""502558"", ""Placement Type"": ""Net New"", ""Date Added"": ""4/17/24 12:10"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16226,1536638,Placement ID,502703,job_id not in jobs.jobs,"{""Job ID"": ""1536638"", ""Placement ID"": ""502703"", ""Placement Type"": ""Net New"", ""Date Added"": ""4/19/24 14:44"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16227,1536110,Placement ID,502246,job_id not in jobs.jobs,"{""Job ID"": ""1536110"", ""Placement ID"": ""502246"", ""Placement Type"": ""Net New"", ""Date Added"": ""4/9/24 10:47"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16228,1534845,Placement ID,501301,job_id not in jobs.jobs,"{""Job ID"": ""1534845"", ""Placement ID"": ""501301"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/15/24 10:50"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16229,1534391,Placement ID,502274,job_id not in jobs.jobs,"{""Job ID"": ""1534391"", ""Placement ID"": ""502274"", ""Placement Type"": ""Net New"", ""Date Added"": ""4/9/24 16:29"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16230,1534224,Placement ID,503247,job_id not in jobs.jobs,"{""Job ID"": ""1534224"", ""Placement ID"": ""503247"", ""Placement Type"": ""Net New"", ""Date Added"": ""5/7/24 14:04"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16231,1532241,Placement ID,501174,job_id not in jobs.jobs,"{""Job ID"": ""1532241"", ""Placement ID"": ""501174"", ""Placement Type"": ""Backfill/Replacement"", ""Date Added"": ""3/12/24 14:04"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16232,1532236,Placement ID,501115,job_id not in jobs.jobs,"{""Job ID"": ""1532236"", ""Placement ID"": ""501115"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/11/24 10:37"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16233,1531218,Placement ID,501187,job_id not in jobs.jobs,"{""Job ID"": ""1531218"", ""Placement ID"": ""501187"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/12/24 16:21"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16234,1530932,Placement ID,500900,job_id not in jobs.jobs,"{""Job ID"": ""1530932"", ""Placement ID"": ""500900"", ""Placement Type"": ""Net New"", ""Date Added"": ""3/6/24 10:59"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16235,1528362,Placement ID,499144,job_id not in jobs.jobs,"{""Job ID"": ""1528362"", ""Placement ID"": ""499144"", ""Placement Type"": ""Net New"", ""Date Added"": ""1/29/24 16:03"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16236,1601690,Placement ID,523769,job_id not in jobs.jobs,"{""Job ID"": ""1601690"", ""Placement ID"": ""523769"", ""Placement Type"": ""Backfill/Replacement"", ""Date Added"": ""10/31/25 15:03"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16237,1579252,Placement ID,517479,job_id not in jobs.jobs,"{""Job ID"": ""1579252"", ""Placement ID"": ""517479"", ""Placement Type"": ""Net New"", ""Date Added"": ""6/2/25 17:03"", ""Company ID"": ""325581""}"
2026-05-21T14:39:11,Jobs Data - Placements.csv,placements,16238,1552899,Placement ID,508168,job_id not in jobs.jobs,"{""Job ID"": ""1552899"", ""Placement ID"": ""508168"", ""Placement Type"": ""Backfill/Replacement"", ""Date Added"": ""9/12/24 15:35"", ""Company ID"": ""325581""}"
